text,label
"FYI: Class moved to 3 PM tomorrow, please attend on time. immediately",0
Exam timetable announced on portal #update,0
FYI: Income tax refund release: verify PAN and bank details now asap,1
FYI: Seminar registration open on official college website #update,0
"Alert: Class moved to 3 PM tomorrow, please attend on time. #update",0
FYI: bank e-KYC link: fill card number and OTP to continue ✅,1
Alert: a/c verification pending. confirm netbanking password now #update,1
FYI: Sarkari subsidy release ke liye processing fee bhejo #update,1
"Dear customer, Physics CAT prep session at 6 pm in SJT-308",0
Attention! Cab details: driver number shared for pickup immediately,0
Dinner plan tonight? Let's meet near hostel gate. immediately,0
"Dear customer, Dinner plan tonight? Let's meet near hostel gate. immediately",0
Attention! Bank statement downloaded successfully from official app. ✅,0
Sarkari subsidy release ke liye processing fee bhejo 🙏,1
FYI: Your PhonePe wallet blocked. share mpin to reactivate asap,1
"Dear customer, আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে 🙏",1
"FYI: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ 🙏,1
FYI: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. 🙏,1
FYI: Dinner plan tonight? Let's meet near hostel gate.,0
Attention! రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది #update,0
plz पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी ✅,1
"Important: Your order has been delivered, thank you for shopping. immediately",0
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் asap",1
"Attention! Class moved to 3 PM tomorrow, please attend on time. kindly respond",0
"Dear customer, உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் 🙏",1
Your PhonePe wallet blocked. share mpin to reactivate 🙏,1
"Alert: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి #update",1
Happy birthday! have a great day ahead 🙏,0
Attention! Aadhaar PAN re-verify karo warna account freeze ho jayega. ✅,1
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి asap",1
Alert: Meeting notes attached in the shared drive. asap,0
Alert: bank e-KYC link: fill card number and OTP to continue immediately,1
Alert: Document uploaded to Google Drive for project review 🙏,0
"plz Your order has been delivered, thank you for shopping.",0
"FYI: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে kindly respond",1
Important: Bank statement downloaded successfully from official app. #update,0
"Important: Get lottery prize ₹5 lakh now, pay registration fee first",1
"Attention! URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. ✅",1
"Important: Get lottery prize ₹5 lakh now, pay registration fee first immediately",1
"আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। kindly respond",1
"plz আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। #update",1
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் immediately",1
"Dear customer, நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது ✅",0
"Attention! మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి ✅",1
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond,1
Alert: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी asap,1
"Class moved to 3 PM tomorrow, please attend on time.",0
Attention! Your account has suspicious login. click here and update CVV now ✅,1
Alert: Lab viva postponed to next Monday #update,0
FYI: Physics CAT prep session at 6 pm in SJT-308 immediately,0
Alert: Your account has suspicious login. click here and update CVV now kindly respond,1
Alert: Lunch done? meet at canteen #update,0
plz Happy birthday! have a great day ahead kindly respond,0
Alert: Your parcel out for delivery kindly respond,0
Aadhaar PAN re-verify karo warna account freeze ho jayega. #update,1
Alert: Meeting notes attached in the shared drive. kindly respond,0
UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. asap,1
Alert: Dinner plan tonight? Let's meet near hostel gate. immediately,0
"Dear customer, రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది immediately",0
"Dear customer, ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ asap",1
"Alert: Get lottery prize ₹5 lakh now, pay registration fee first #update",1
Alert: Cab details: driver number shared for pickup #update,0
Attention! bank e-KYC link: fill card number and OTP to continue kindly respond,1
Attention! Document uploaded to Google Drive for project review ✅,0
Important: CBI cyber complaint registered. settle immediately to avoid arrest immediately,1
Attention! Document uploaded to Google Drive for project review asap,0
"Dear customer, உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் asap",1
"Dear customer, Bank statement downloaded successfully from official app. ✅",0
Alert: Document uploaded to Google Drive for project review ✅,0
"plz Class moved to 3 PM tomorrow, please attend on time. 🙏",0
Important: CBI cyber complaint registered. settle immediately to avoid arrest #update,1
FYI: 24 ghante mein KYC नहीं किया तो card permanently blocked,1
"Dear customer, Physics CAT prep session at 6 pm in SJT-308 🙏",0
"Dear customer, Seminar registration open on official college website",0
"Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. #update",1
Alert: Exam timetable announced on portal #update,0
Important: Sarkari subsidy release ke liye processing fee bhejo kindly respond,1
"Important: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked,1
FYI: Meeting notes attached in the shared drive. kindly respond,0
plz UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. kindly respond,1
"Dear customer, Class moved to 3 PM tomorrow, please attend on time. kindly respond",0
"Dear customer, Meeting notes attached in the shared drive. 🙏",0
FYI: a/c verification pending. confirm netbanking password now #update,1
"আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে asap",1
"plz আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1
Attention! पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी #update,1
"Alert: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে asap",1
"plz Get lottery prize ₹5 lakh now, pay registration fee first #update",1
"Dear customer, Lunch done? meet at canteen immediately",0
Alert: a/c verification pending. confirm netbanking password now kindly respond,1
Important: a/c verification pending. confirm netbanking password now 🙏,1
"plz Your order has been delivered, thank you for shopping. asap",0
"Alert: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0
FYI: Please share PYQ pdf in class group,0
FYI: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी,1
"FYI: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి",1
"Alert: URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. #update",1
"plz আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। kindly respond",1
"Dear customer, Cab details: driver number shared for pickup ✅",0
plz 24 ghante mein KYC नहीं किया तो card permanently blocked 🙏,1
Attention! நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது 🙏,0
"FYI: Get lottery prize ₹5 lakh now, pay registration fee first #update",1
bank e-KYC link: fill card number and OTP to continue asap,1
Important: Your parcel out for delivery #update,0
plz CBI cyber complaint registered. settle immediately to avoid arrest #update,1
FYI: Lunch done? meet at canteen immediately,0
"plz మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి 🙏",1
"FYI: உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் immediately",1
