text,label,language_mix,category,source
"FYI: Class moved to 3 PM tomorrow, please attend on time. immediately",0,mixed-indic,social,synthetic_v2
Exam timetable announced on portal #update,0,Sindhi+English,commerce,synthetic_v2
FYI: Income tax refund release: verify PAN and bank details now asap,1,Malayalam+English,fear,synthetic_v2
FYI: Seminar registration open on official college website #update,0,Dogri+English,social,synthetic_v2
"Alert: Class moved to 3 PM tomorrow, please attend on time. #update",0,Dogri+English,work,synthetic_v2
FYI: bank e-KYC link: fill card number and OTP to continue ✅,1,Santali+English,otp,synthetic_v2
Alert: a/c verification pending. confirm netbanking password now #update,1,Tanglish,urgency,synthetic_v2
FYI: Sarkari subsidy release ke liye processing fee bhejo #update,1,Punjabi+English,credential,synthetic_v2
"Dear customer, Physics CAT prep session at 6 pm in SJT-308",0,Nepali+English,personal,synthetic_v2
Attention! Cab details: driver number shared for pickup immediately,0,Sanskrit+English,work,synthetic_v2
Dinner plan tonight? Let's meet near hostel gate. immediately,0,Telugu+English,work,synthetic_v2
"Dear customer, Dinner plan tonight? Let's meet near hostel gate. immediately",0,mixed-indic,personal,synthetic_v2
Attention! Bank statement downloaded successfully from official app. ✅,0,Sanskrit+English,social,synthetic_v2
Sarkari subsidy release ke liye processing fee bhejo 🙏,1,Bodo+English,money,synthetic_v2
FYI: Your PhonePe wallet blocked. share mpin to reactivate asap,1,Telugu+English,otp,synthetic_v2
"Dear customer, আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে 🙏",1,Bengali+English,otp,synthetic_v2
"FYI: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0,Tanglish,personal,synthetic_v2
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ 🙏,1,Maithili+English,kyc,synthetic_v2
FYI: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. 🙏,1,Urdu+English,fear,synthetic_v2
FYI: Dinner plan tonight? Let's meet near hostel gate.,0,Sanskrit+English,education,synthetic_v2
Attention! రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది #update,0,Telugu+English,education,synthetic_v2
plz पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी ✅,1,Kannada+English,urgency,synthetic_v2
"Important: Your order has been delivered, thank you for shopping. immediately",0,Tamil+English,work,synthetic_v2
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் asap",1,Gujarati+English,impersonation,synthetic_v2
"Attention! Class moved to 3 PM tomorrow, please attend on time. kindly respond",0,Konkani+English,work,synthetic_v2
"Dear customer, உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் 🙏",1,Konkani+English,impersonation,synthetic_v2
Your PhonePe wallet blocked. share mpin to reactivate 🙏,1,Malayalam+English,money,synthetic_v2
"Alert: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి #update",1,Punjabi+English,upi,synthetic_v2
Happy birthday! have a great day ahead 🙏,0,Nepali+English,personal,synthetic_v2
Attention! Aadhaar PAN re-verify karo warna account freeze ho jayega. ✅,1,Urdu+English,credential,synthetic_v2
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి asap",1,Tamil+English,urgency,synthetic_v2
Alert: Meeting notes attached in the shared drive. asap,0,Kashmiri+English,personal,synthetic_v2
Alert: bank e-KYC link: fill card number and OTP to continue immediately,1,Tamil+English,credential,synthetic_v2
Alert: Document uploaded to Google Drive for project review 🙏,0,Tanglish,family,synthetic_v2
"plz Your order has been delivered, thank you for shopping.",0,Assamese+English,education,synthetic_v2
"FYI: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে kindly respond",1,Hinglish,impersonation,synthetic_v2
Important: Bank statement downloaded successfully from official app. #update,0,Santali+English,education,synthetic_v2
"Important: Get lottery prize ₹5 lakh now, pay registration fee first",1,Konkani+English,kyc,synthetic_v2
"Attention! URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. ✅",1,Hindi+English,impersonation,synthetic_v2
"Important: Get lottery prize ₹5 lakh now, pay registration fee first immediately",1,Hinglish,upi,synthetic_v2
"আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। kindly respond",1,Hinglish,credential,synthetic_v2
"plz আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। #update",1,Telugu+English,impersonation,synthetic_v2
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் immediately",1,Assamese+English,urgency,synthetic_v2
"Dear customer, நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது ✅",0,Tamil+English,work,synthetic_v2
"Attention! మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి ✅",1,Gujarati+English,credential,synthetic_v2
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond,1,Tanglish,impersonation,synthetic_v2
Alert: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी asap,1,Hindi+English,upi,synthetic_v2
"Class moved to 3 PM tomorrow, please attend on time.",0,Bengali+English,family,synthetic_v2
Attention! Your account has suspicious login. click here and update CVV now ✅,1,Bodo+English,urgency,synthetic_v2
Alert: Lab viva postponed to next Monday #update,0,mixed-indic,personal,synthetic_v2
FYI: Physics CAT prep session at 6 pm in SJT-308 immediately,0,Tamil+English,commerce,synthetic_v2
Alert: Your account has suspicious login. click here and update CVV now kindly respond,1,Santali+English,money,synthetic_v2
Alert: Lunch done? meet at canteen #update,0,Bodo+English,social,synthetic_v2
plz Happy birthday! have a great day ahead kindly respond,0,Konkani+English,work,synthetic_v2
Alert: Your parcel out for delivery kindly respond,0,Bengali+English,social,synthetic_v2
Aadhaar PAN re-verify karo warna account freeze ho jayega. #update,1,Tamil+English,credential,synthetic_v2
Alert: Meeting notes attached in the shared drive. kindly respond,0,Assamese+English,education,synthetic_v2
