text,label,language_mix,category,source
"Dear customer, Your order has been delivered, thank you for shopping. immediately",0,hinglish,personal,synthetic_v1
FYI: நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது asap,0,telugu+english,personal,synthetic_v1
"Dear customer, Meeting notes attached in the shared drive. asap",0,english,personal,synthetic_v1
Dinner plan tonight? Let's meet near hostel gate. 🙏,0,telugu+english,work,synthetic_v1
"FYI: Class moved to 3 PM tomorrow, please attend on time.",0,mixed-indic,personal,synthetic_v1
"plz Get lottery prize ₹5 lakh now, pay registration fee first immediately",1,kannada+english,money,synthetic_v1
"Attention! আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। ✅",1,hinglish,impersonation,synthetic_v1
plz Meeting notes attached in the shared drive. 🙏,0,hinglish,education,synthetic_v1
plz पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी 🙏,1,hinglish,impersonation,synthetic_v1
"Dear customer, Your order has been delivered, thank you for shopping. immediately",0,hindi,work,synthetic_v1
"Attention! আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন।",1,bengali+english,urgency,synthetic_v1
Attention! Meeting notes attached in the shared drive. asap,0,hinglish,education,synthetic_v1
"Class moved to 3 PM tomorrow, please attend on time. asap",0,hindi,personal,synthetic_v1
plz Your SBI account will be blocked in 24 hours. Verify KYC now and share OTP. ✅,1,kannada+english,otp,synthetic_v1
"Dear customer, Bank statement downloaded successfully from official app. ✅",0,marathi+english,social,synthetic_v1
"Get lottery prize ₹5 lakh now, pay registration fee first 🙏",1,urdu+english,urgency,synthetic_v1
"Attention! আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। immediately",1,urdu+english,otp,synthetic_v1
FYI: ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ ✅,1,marathi+english,credential,synthetic_v1
Aadhaar PAN re-verify karo warna account freeze ho jayega. ✅,1,hindi,link,synthetic_v1
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் ✅",1,kannada+english,link,synthetic_v1
Attention! पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी ✅,1,mixed-indic,impersonation,synthetic_v1
"URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. asap",1,mixed-indic,kyc,synthetic_v1
पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी ✅,1,bengali+english,link,synthetic_v1
plz पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी,1,mixed-indic,otp,synthetic_v1
"plz আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। asap",1,urdu+english,link,synthetic_v1
Bank statement downloaded successfully from official app. asap,0,marathi+english,commerce,synthetic_v1
plz நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது 🙏,0,marathi+english,work,synthetic_v1
Attention! రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది asap,0,tamil+english,personal,synthetic_v1
"Dear customer, আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন",0,hinglish,education,synthetic_v1
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి 🙏",1,hindi,otp,synthetic_v1
Happy birthday! have a great day ahead immediately,0,tamil+english,social,synthetic_v1
"Dear customer, Get lottery prize ₹5 lakh now, pay registration fee first immediately",1,tamil+english,impersonation,synthetic_v1
